model,accuracy_mean,f2_mean,pr_auc_mean,roc_auc_mean,precision_mean,recall_mean,f1_mean,infer_ms_per_sample_mean
logistic_regression,0.9361952861952862,0.27468285186948277,0.3323077352995616,,0.5391634366925064,0.25269522144522144,0.3193736911518706,0.0005558461918357818
random_forest,0.948526936026936,0.32281089125327056,0.5347905796444455,,0.6414565826330533,0.30358067858067855,0.3641998207054314,0.053581678473168144
gradient_boosting,0.9248526936026936,0.3020226634299129,0.4784484963403746,,0.5683229813664596,0.30002751877751876,0.31517338557239577,0.012245881206465178
xgboost,0.9221380471380471,0.3233680316985583,0.4515906989984404,,0.5558823529411764,0.32100653975653975,0.34018299464159335,0.008157588679747854
lightgbm,0.9286826599326599,0.2921763001869811,0.3789371371973658,,0.6206415620641562,0.27572196322196324,0.32768051428321376,0.0029777227059440653
svm,0.9154671717171716,0.3585350615524054,0.3622599277966205,,0.47939256510685085,0.37461959336959333,0.3599404001702853,0.04871203857358214
isolation_forest_ensemble,0.9219696969696969,0.38001142390860876,0.5395544132766766,,0.4951590594744122,0.3943764568764569,0.38286951144094,0.01148077338001581
